Text;Sentiment;Kesesuaian
berbagai kemudahan yang di berikan oleh bpjs kesehatan dengan fitur layanan;Netral;
seneng banget sih ngeliat masyarakat yang sekarang sudah cerdas baca pelajari dan pahami termasuk yang ini layanan panduan yang dimiliki bpjs kesehatan untuk peserta;Netral;
ada info layanan panduan yang dimiliki bpjs kesehatan untuk peserta biar gak tanya tanya;Netral;
dp nol persen ya urgensinya yang ga masuk kan ini kaya irisan bpjs kesehatan sm bpjs tk menjamin tapi tarik iuran dan bisa ditarik pas pensiun atau stop kerja rumah ga se urgent kesehatan atau keselamatan kerja atau pensiun;Negatif;
guys mau kasih tau nih layanan panduan yang dimiliki bpjs kesehatan untuk peserta sangat bermanfaat;Positif;
udah ke potong bpjs kesehatan ketenagakerjaan rasanya ga enak ko malah ditambahi tapera tapera tai asu ;Negatif;
nggak punya pulsa buat telpon care center tapi banyak yang mau ditanyakan coba aja via mobile jkn vhika atau chika cek gambar di bawah ya ;Netral;
salam sehat ibu alice kami bantu cek datanya terlebih dahulu bisa diinformasikan nomor kartu jkn kis nama lengkap dan tanggal lahir silahkan di informasikan melalui dm;Netral;
ternyata bpjs kesehatan mempunyai care center yang siap melayani peserta jkn kis setiap hari selama dua puluh empat jam yang sangat membantu;Positif;
untuk para peserta jkn kis berikut panduan layanan bpjs kesehatan untuk para peserta dengan gotong royong semua tertolong;Netral;
kantor bpjs kesehatan di pancoran apakah sudah buka min;Netral;
selamat malam guys aku mau kasih tau ya bpjs memilik beberapa panduan layanan untuk peserta bpjs kesehatan ada mobile jkn care center chika dan vika yang siap membantu dua puluh empat jam;Netral;
hai tweps bpjs kesehatan menyediakan panduan layanan untuk peserta nya simak flyer dibawah ini;Netral;
gaes bpjs kesehatan memiliki panduan layanan untuk peserta loh yang bisa memudahkan peserta bpjs karena bisa di aksen kapan aja;Positif;
layanan bpjs kesehatan yang bisa di akses oleh peserta dan tentunya untuk mempermudah semua peserta;Positif;
dari bulan agustus dua ribu sembilan belas udah dibilang kalo pemerintah telah melanggar hukum terkait blokir Internet ini belum lagi kasus karhutla dan iuran bpjs kesehatan gak becus;Negatif;
buat kamu jaga kesehatan pajak bpjs udah naik soalnya nyari duit juga susah;Negatif;
potongan jht bpjs ketenagakerjaan bpjs kesehatan masih belum cukup kah upah dipotong terus tapi manfaaatnya ga tau lari kemana pencairan jht aja berbelitnya naudzubillah padahal itu uang kami loh malahan ilang gitu aja sebelum sempat di cairkan di tempat kerja terakhir kemaren asu;Negatif;
gimana nih layananan bpjs kesehatan udah maksimal belum ternyata banyak juga ya layanan yang tersedia untuk peserta mantap betul ini sih;Positif;
potongan gaji bulanan saya mulai dari bpjs kesehatan ketenagakerjaan pajak penghasilan jht terus nanti potongan untuk tapera;Negatif;
ternyata bpjs kesehatan terus berinovasi demi memberikan yang terbaik kali ini hadir layanan panduan yang dimiliki bpjs kesehatan untuk peserta loh dibaca ya biar makin kenal dan sayang;Netral;
berharap agar peserta puas dengan layanan bpjs kesehatan sekarang ada layanan panduan yang dimiliki bpjs kesehatan untuk peserta;Netral;
dengan adanya panduan layanan bpjs kesehatan ini di harapkan para peserta bisa puas dan kita bisa cek dimanapun lewat layanan ini peserta puas dengan layanan bpjs kesehatan ;Positif;
jangan lupa dengan kenaikan tarif bpjs kesehatan juga yang memberatkan;Negatif;
berikut adalah panduan layanan bpjs kesehatan kamu bisa menghubungi bpjs kesehatan melalui chat telepon atau aplikasi bpjs kesehatan memberikan pelayanan untuk masyarakat;Netral;
kemudahan yang diberikan oleh bpjs kesehatan untuk peserta berupa layanan panduan seperti yang ada di gambar;Positif;
berikut panduan layanan yang dimiliki oleh bpjs kesehatan untuk memudahkan pelayanannya;Positif;
ini panduan layanan bpjs kesehatan untuk peserta tinggal pilih layanan yang sesuai yang kalian butuhkan;Netral;
bpjs kesehatan aja defisit apalagi ini gak jelas sama mau ngurus bpjs ketenagakerjaan aja ribet nya minta ampun padahal itu uang kita yang dipotong dari gaji;Negatif;
pembagian porsi iuran tapera juga unik menurutku company nol koma lima persen employee dua koma lima persen semacam kewajiban pekerja bukan kewajiban pengusaha bukan benefit karyawan ilustrasi benefit karyawan bpjs kesehatan jadi memberatkan ke karyawan;Negatif;
jangan khawatir ya kamu tidak sendirian kok masih ada yang bisa di hubungi ketika kamu butuh bantuan mengenai kesehatan dan bpjs kesehatan terus berupaya memberikan layanan terbaik untukmu;Netral;
untuk peserta bpjs kesehatan yang membutuhkan bantuan atau memiliki pertanyaan bisa menghubungi layanan yang dimiliki bpjs kesehatan memberikan pelayanan untuk masyarakat;Netral;
yang harus di inget kita kerja di pelayanan kesehatan dulu disumpah buat gak pilih kasih ke pasien tapi kalo aturan tempat kerja ada pasien bpjs sama vip kita bisa apa dua duanya pasien tetep pasien kita tapi pasien bpjs menjadi di kesampingkan;Negatif;
guys ini ada petunjuk layanan panduan yang dimiliki bpjs kesehatan untuk peserta nih;Netral;
bpjs kesehatan memiliki layanan panduan bagi peserta semoga peserta puas dengan layanan tersebut simak yuk;Netral;
ada info nih tentang pelayanan panduan yang dimiliki bpjs kesehatan untuk peserta dan kalian bisa dicek dibawah ini ya;Netral;
wei gila kali yak zakat yg jelas diajarkan dalam agama aja cuma dua setengah persen dari penghasilan ini ampe tiga persem alesannya biar punya rumah gaji tiap bulan udah ke potong bpjs kesehatan tenagakerjaan sama pajak ini msh ada tambahan potongan lagi;Negatif;
hai gaes berikut adalah panduan layanan yang dimiliki bpjs kesehatan untuk peserta info selengkapnya bisa kalian baca di gambar bawah ini;Netral;
dalam gambar ini ada sebuah layanan panduan yang dimiliki oleh bpjs kesehatan untuk peserta dengan adanya layanan ini akan memudahkan peserta untuk mendapatkan informasi mengenai bpjs kesehatan;Netral;
salam sehat bapak nugi informasi lebih lanjut akan diinformasikan melalui dm terima kasih;Netral;
kenaikan iuran bpjs kesehatan di tengah pandemi tidak tepat;Negatif;
salam sehat ibu renda informasi lebih lanjut kami sampaikan melalui dm terima kasih;Netral;
ada bpjs kesehatan dan bpjs ketenagakerjaan sekarang ada tapera apakah wajib juga tapera ini bagaimana kalo si pekerja sudah punya rumah apakah di potong juga gajinya kalau di potong sangat memberatkan;Negatif;
jadi ketua forum internasional indonesia dorong bpjs kesehatan bangun sinergi berskala global;Netral;
penghasilan pekerja dan pekerja mandiri di potong untuk program tapera yang tujuannya membantu masyarakat Indonesia memiliki rumah sistemnya seperti perpaduan antara bpjs ketenagakerjaan dan bpjs kesehatan menarik ladang korupsi baru;Negatif;
yang kami berikan melalui dm agar dibantu proses peralihannya terima kasih;Netral;
sekarang aja udah dipotong hampir sepuluh persen buat iuran bpjs tk bpjs kesehatan pph asuransi swasta dana pensiun swasta itu juga bpjs kesehatan ga pernah dipake ;Negatif;
gunakan teknologi internet atau online dari ngurus ktp bpjs sim stnk berobat belanja dsb dalam rangka new normal jaga kesehatan dan ekonomi berjalan;Netral;
sekarang tapera sebelumnya bpjs tenaga kerja kesehatan berapa persen yg mendapati hasil berapa persen yang hilang menguap entah kemana berharap sembilan puluh sembilan persen peserta tak peduli dan tak mengambil hak mereka;Negatif;
salam sehat bapak atau ibu dm sudah saya terima untuk interaksi selanjutnya melalui dm ya;Netral;
saya perantau di jakarta mau bikin bpjs kesehatan bagaimana caranya;Netral;
enam puluh persen peserta mandiri stop bayar karena tidak mampu;Negatif;
ada bpjs kesehatan bpjs ketenagakerjaan bpjs tk pensiun tapera abis ini ada apalagi nih habis sudah gaji ku;Negatif;
gaji dipotong untuk simpanan dan kesehatan tapi ngurusnya ribet padahal uang sendiri;Negatif;
salam sehat ibu selvi informasi lebih lanjut akan disampaikan melalui dm terima kasih;Netral;
pemerintah menaikkan tarif listrik menaikkan tarif bpjs blt salah sasaran tolong jangan hutang lagi ke negara lain atau imf nanti yang bayar hutang dibebankan ke anak cucu kita semoga semua diberikan kesehatan selalu;Negatif;
salam sehat ibu mutiara informasi lebih lanjut kami sampaikan melalui dm terima kasih;Netral;
beban kami siapa yg pikul pak saya gak dpt blt listrik gak dapat diskon bbm gak turun prakerja gak dapat bpjs kesehatan gak jadi turun harga beras tetap gaji turun siapa yang bantu mikul beban saya pak ayo lah pak;Negatif;
salam sehat bapak atau ibu valentine informasi lebih lanjut kami sampaikan melalui dm terima kasih;Netral;
program apa nih nantinya dibikinin rumah apa gimana ga di wajib kan kaya bpjs kesehatan kan bpjs aja jarang ke pake;Negatif;
bpjs kesehatan tiket kereta api sudah bisa dilakukan via paytren praktis mudah langsung dari hp sendiri dan menguntungkan;Netral;
pemerintah berikan bantuan untuk peserta jkn kis kelas tiga;Positif;
kenapa sih bpjs naik kita harus tau latar belakangnya dong sebelum nge judge iuran yang dibawah standar tetapi manfaat nya sungguh besar maka resikonya jadi tinggi kebutuhan kenaikan iuaran ini memang perlu supaya bpjs kesehatan ini juga sehat bukan hanya pesertanya saja;Positif;
bayangkan hakiki turunnya itu kadang lima bulan sekali belum dipotong pajak penghasilan belum dipotong bpjs kesehatan satu keluarga;Negatif;
bayar bpjs kesehatan iya bpjs tk iya ditambah iuran ini tapi gaji cuma pas di umr ancur sudah;Negatif;
salam sehat bapak atau ibu informasi lebih lanjut akan kami sampaikan melalui  dm terima kasih;Netral;
salam sehat bapak atau ibu sudah saya terima melalui dm interaksi selanjutnya melalui dm ya terima kasih;Netral;
lebih dari setengah peserta jkn dibiayai oleh pemerintah dari seluruh peserta melalui segmen penerima bantuan iuran program jaminan kesehatan nasional yang dikelola oleh bpjs kesehatan;Positif;
bikin pp tapera apa tidak belajar dari bpjs kesehatan;Negatif;
bagi para pekerja tentunya kita perlu menerapkan new normal dengan memiliki pola hidup yang bersih dan sehat saat di rumah dan tiga fase dalam bekerja untuk melindungi diri dan keluarga kita dari penyebaran covid;Netral;
salam sehat ibu tantiani mohon maaf atas ketidaknyamanannya silahkan mengisi format yang saya berikan melalui dm;Netral;
fasilitasi peserta turun kelas bpjs kesehatan perpanjang program super praktis;Netral;
halah pasti juga gak akan dilaksanakan hukumannya ya kan pakde wong bpjs kesehatan naik aja tetep naik terus ;Negatif;
hak rakyat tuk kesehatan aja ga peduli bpjs tetep naik tuh apalagi cuman putusan ptun ;Negatif;
setelah potongan bpjs ketenagakerjaan dan kesehatan nanti ada lagi potongan tapera peras terus kaya sapi perah tae;Negatif;
konsepnya mungkin baik bang tapi indonesia udah punya iuran bpjs ketenagakerjaan bpjs kesehatan jht dll muncul lagi ini lagian hasil akhirnya juga nanti setelah pensiun diambil juga dalam bentuk deposit perbankan surat utang dll ribet;Negatif;
ini potongan buat apa sih bpjs kan jelas asuransi kesehatan;Negatif;
kasihan ibu hamil disuruh datang jam satu siang gak tahu nya si dokter datang nya jam tiga sore seperti ini toh untuk pasien bpjs kesehatan di perlambat pemeriksaannya;Negatif;
salam sehat bapak jaya informasi lebih lanjut akan disampaikan melalui  dm terima kasih;Netral;
bpjs kesehatan bpjs tnkr pph terus tapera dasar sapi perah;Negatif;
siang min mau tanya cara daftar autodebit untuk iuran bpjs kesehatan bagaimana ya apakah bisa via apps mandiri online;Netral;
setelah presiden dan negara divonis melawan hukum di kasus karhutla lalu menaikkan tarif bpjs kesehatan sekarang dilanjut divonis melawan hukum atas pemadaman internet di papua dan papua barat negara kita masih negara hukum kan;Negatif;
yang iuran iuran seperti tapera bpjs kesehatan memberatkan banget;Negatif;
asuransi kesehatan apa yg kamu maksud kalau bpjs gak bisa asuransi lain pun tergantung beberapa asuransi gak bisa claim kalau tujuan rapidnya untuk screening kalau kamu punya gejala dan dirujuk baru bisa di cover;Negatif;
salam sehat bapak atau ibu bisa informasikan melalui dm atau inbox;Netral;
terima kasih kembali semoga sehat selalu;Netral;
bpjs kesehatan di bayar semua ama perusahaan hebat lo goblok uu bpjs ama dia di ubah demi ke goblokannya ;Negatif;
bpjs kesehatan itu full dibayar perusahaan lu dulu kecuali bpjs tk ada subsidi dari perusahaan lu dan sisa nya dipotong dati gaji lu itu juga hitung hitung jadi simpanan lu ga berkurang dasar tolol mau lu nanti sakit berobat full biaya sendiri gak pake bpjs;Negatif;
katanya tapera tabungan perumahan rakyat mungkin arisan rumah tapi kayaknya cuman akal akalan untuk nambah cashin saat ini persis bpjs yang dibilang arisan kesehatan;Negatif;
enam puluh persen peserta mandiri stop bayar karena tidak mampu ;Negatif;
sebelumnya udah bpjs kesehatan bpjs ketenagakerjaan tapi kualitas kinerja para karyawan rewel pegat;Negatif;
sudah berapa kali pemerintahan jokowi melanggar hukum mulai dari kasus kebakaran lahan kenaikan bpjs kesehatan sekarang shutdown internet;Negatif;
hardcore dong kalau ujung ujung nya yang muncul uu minerba uu cilaka kenaikan bpjs kesehatan kenaikan bmm dan yang terbaru pitera tapi gw yakin bagi penjilat rezim mah hal diatas itu ya demi kebaikan rakyat;Negatif;
walah aku kecatut potongan lagi jancuk yang bikin kebijakan udah ke potong jkn bpjs kesehatan ke potong pajak;Negatif;
ayo lah cuy iuran pekerja sudah ada bpjs kesehatan dan bpjs ketenagakerjaan belum lagi ditambah koperasi perusahaan masih terhitung pph dll masih ditambah tapera ;Negatif;
lalu kirim melalui dm agar dibantu proses peralihannya terima kasih;Netral;
bpjs kesehatan ketenagakerjaan itu sudah cukup dan paling real mutlak ada kalau tambah buat ngurusi rumah kurang ngeh aku urgensinya memberatkan saja;Negatif;
jadi pekerja sec komersial masa gak ada bpjs kesehatan sama ketenagakerjaan uang lembur sama jht padahal namanya mengandung pekerja dan komersial;Netral;
potongan di slip gaji saya makin banyak dong udah bpjs ketenagakerjaan terus bpjs jaminan pensiun bpjs kesehatan tapera potongan koperasi potongan absen dll abis aja ini gaji;Negatif;
perjuangkan juga bagaimana rakyat bisa berhenti dari jerat bpjs kesehatan;Negatif;
bpjs kesehatan dibebankan pada rakyat walau sudah ditolak oleh ma tapi dasar penghisap darah rakyat bukannya tobat malah semakin nekat dengan bebankan lagi tapera pada karyawan dan pekerja mandiri diktator itu wajahnya memang gak ada yang ganteng;Negatif;
beritanya ga komplit ini jadinya kita bakal dikasih rumah atau kaga ya kalau bpjs kan ya ada keuntungan kesehatan kita bisa dicover sama bpjs kalau tapera gimana;Positif;
saat pandemi bpjs kesehatan lhokseumawe tetap utamakan kepuasan peserta;Netral;
selain tapera sudah dipungut bpjs tk dan bpjs kesehatan diluar potongan pph kalau kurang tambah lagi ya pajak ternak belum pajak anak lebih dari satu pajak tanaman biara negara kaya;Negatif;
rumah gw udah banyak ngapain gaji gw di potong lagi buat tapera potongan pph bpjs ketenagakerjaan bpjs kesehatan tapera cebong bahagia bisa beli kopi gelas plastik seember;Negatif;
bpjs kesehatan berjalan penuh carut marut hingga hari ini lalu muncul pula tapera yang tak jelas karena diwajibkan kepada semua pihak padahal peruntukkannya ditujukan untuk orang belum punya rumah lagi lagi pemerintah bermain-main dengan menyedot uang rakyat;Negatif;
potongan gaji bagi pekerja siap siap bertambah selain bpjs kesehatan dan  bp jamsostek kini ada iuran tabungan perumahan rakyat tapera itu menjadi sarana bagi para pekerja untuk memiliki rumah tinggal sendiri dan sifatnya wajib bagi seluruh pekerja jadi makin abis gaji;Negatif;
maksudnya gimana kan pajak udah kantor kantor juga dipaksa pakai bpjs motong uang tiap bulan tapi ga pernah kita pakai karena pelayanannya yang beda dengan asuransi kesehatan swasta ini ada potongan lagi sejahtera ngga peres terus;Negatif;
komite tiga dpd ri kunjungi kantor bpjs kesehatan cabang batam;Netral;
rakyat sudah susah pak banyak potongan ini itu pph bpjs tk kesehatan pensiun masa tega sih pak bikin pemotongan lagi;Negatif;
jumlah potongan iuran bpjs naker kesehatan pensiun itu gede ya haha;Negatif;
pph ppn bpjs kesehatan bpjs ketenagakerjaan tapera habis aja gajiku;Negatif;
gaji ke potong buat bpjs kesehatan walau pada akhirnya memilih untuk tidak memanfaatkan tapi paling nggak masih eligible kalau kenapa kenapa lah ini keluar dua koma lima persen dari gaji iya bisa memanfaatkan tidak;Negatif;
mungkin karena biaya perawatan kesehatan itu mahal tapi pada gak mau bayar bpjs;Netral;
tai sih ini aja gw udah di potong sama bpjs ketenagakerjaan kesehatan sekitar dua setengah persen ini ada lagi tapera abis aja gaji gw;Negatif;
salam sehat bapak atau ibu jika ada indikasi medis dijamin untuk penjaminan bisa konfirmasi ke petugas bpjs satu di rumah sakit terima kasih;Netral;
selamat pagi tolong di cek bpjs kesehatan milik ayah saya status ke pesertaannya dan informasi nomor bpjs nya;Netral;
salam sehat bapak ibu segera ubah data nama maksimal tiga bulan setelah lahir jika tidak diubah akan kendala ketika berobat terima kasih;Netral;
kerahasiaan datanya saya cek dahulu terima kasih;Netral;
banyak calo legislatif minta manajemen bpjs kesehatan diperbaiki;Negatif;
membongkar penyebab defisit bpjs kesehatan ;Netral;
halo sahabat untuk mengurangi penyebaran covid kita perlu menerapkan new normal nih menerapkan new normal itu mudah loh kamu cuma perlu ingat tiga disiplin apa sih tiga disiplin itu yuk simak infografis ini ya;Netral;
contoh kecilnya aja korona masih banyak banget yang keluyuran tanpa peduli kesehatan orang lain di sekitar dia bahkan yang udah bayar bpjs itu sebenarnya saling tutup menutupi kekurangan satu sama lain tapi sayang kadang manusia bisa diluar batas normal;Netral;
aku mau kasih opini yang tentang bpjs bpjs itu sekarang yang kita tau morat marit ya rada ke arah bangkrut karena apa balik lagi ke pola hidup masyarakat yang masih bandel kita sebagai orang keluaran kesehatan paham betul betapa susahnya mengedukasi semua orang dengan pola pikir yg macem macem;Netral;
padahal sudah ada potongan bpjs ketenagakerjaan belum bpjs kesehatan sudah memberatkan yang jelas dong di detailkan ini fungsi nya untuk apa terutama untuk karyawan swasta;Negatif;
jadi ya persis kayak bpjs kesehatan yang dulu asalnya adalah askesnya pns intinya sih kebijakan yang dulunya cuma buat pns di generalisir ke swasta juga sekarang jadi semacam subsidi silang ini sih karena yg bisa memanfaatkan bp tapera yang tidak jelas;Negatif;
bp tapera itu penyempurnaan dari bapertarum pns mirip sebenernya sama bpjs kesehatan yang dulu awalnya juga dari askesnya pns intinya sih tapera itu untuk bantuan pembiayaan rumah yg dulunya dikelola bapertarum dan dulu hanya untuk pns;Netral;
ngomong utamakan kesehatan di lapangan iuran bpjs dinaikkan obat obat yg mahal tetap beli sendiri itu namanya tak ada gunanya ikut bpjs bagi orang yang penyakitan;Negatif;
min saya baru terkena phk dan ingin mendaftar bpjs kesehatan mandiri apa bisa melakukan pendaftaran online;Netral;
bpjs kesehatan beri perhatian lebih bagi penderita hipertensi dan diabetes saat covid ;Positif;
saya cek dahulu terima kasih;Netral;
bpjs melayani perjuangan haryanah jalani kemoterapi bersama jkn kis;Positif;
kaya biaya kesehatan ya gak mungkin murah cuma beberapa rumah sakit bisa bpjs karena di subsidi negara;Netral;
chika sahabat baru peserta jkn kis yang bisa memudahkan masyarakat;Positif;
jokowi teken pp tapera gaji pekerja siap siap dipotong untuk tabungan perumahan waduh termasuk pegawai swasta dan pekerja mandiri ini bakal potensial seperti iuran bpjs kesehatan ruwet hal ini sepertinya tanpa persetujuan dpr karena pp;Negatif;
mau tanya kalau kartu bpjs kesehatan saya hilang bagaimana cara menggantinya terima kasih;Netral;
bpjs kesehatan perkenalkan jkn kis ke dunia internasional oleh warta ekonomi online ;Netral;
bpjs kesehatan pati salurkan bantuan lewat bpjs peduli jadi bisa membantu masyarakat;Positif;
dana haji ditilep uang kuliah dinaikan bpjs kesehatan naik gaji di potong buruh di phk bumn bangkrut utang meroket harga bbm tetap lu mau masih mau bilang ditangan jokowi indonesia sejahtera adil dan makmur terserah;Negatif;
salam sehat ibu aisyah peralihan jenis kepesertaan tidak merubah no kartu peralihan dibantu oleh hrd tempat bekerja ya terima kasih;Netral;
semakin banyak potongan kan sudah ada pot bpjs tk dan kesehatan itu saja sudah banyak pekerja yg merasa keberatan;Negatif;
bpjs kesehatan bpjs tenaga kerja jht pph nambah kolom lagi tapera abis aja gaji di potong;Negatif;
bpjs kesehatan tapera perumahan ladang baru pemerintah untuk cari duit apalagi esemka ilang kabarnya cuma buat gimik kampanye kemaren pindah ibukota sok sokan;Negatif;
tapera itu apa yaa banyak banget iuran bpjs kesehatan ketenaga kerjaan  taspen apa lagi buat apa abis dong gaji di potong sana sini;Negatif;
goblok ini baca gw banyak hutang dimana ya potongan itu bukan hutang goblok di tempat gw ada potongan bpjs kesehatan ketenegakerjaan pensiun ada potongan dana sosial potongan uang koperasi dll paham ga lo dul;Negatif;
mohon maaf informasi melalui dm sudah saya terima dan informasikan kembali silahkan dicek ya terima kasih;Netral;
iuran bpjs kesehatan dinaikan kembali pemerintah dinilai tak hormati ma;Negatif;
dengan senang hati informasi melalui dm sudah saya terima interaksi dilanjutkan melalui dm ya terima kasih;Netral;
salam sehat ibu elvina peserta jkn kis mandiri wajib autodebet no rekening diperlukan untuk mendaftar rekening yang akan di autodebet terima kasih;Netral;
dengan senang hati interaksi ini akan dilanjutkan melalui dm ya terima kasih;Netral;
salam sehat bapak hodi status kartu penangguhan pembayaran sedang menunggu iuran pertama terbentuk setelah iuran pertama dibayarkan status aktif ya terima kasih;Netral;
salam sehat ibu shine mohon maaf januari maret tetap terhitung kenaikan iuran hanya bulan april saja yang iurannya sudah diturunkan jadi kelebihan pembayaran bulan april dialihkan untuk mei terima kasih;Netral;
salam sehat ibu hadera selama masa covid jika ingin beralih kepesertaan jkn kis mandiri saya akan bantu verifikasi dan pengajuan peralihan menjadi peserta jkn kis mandiri silahkan dilengkapi data berikut melalui dm;Netral;
salam sehat bapak atau ibu saya akan bantu pengecekan data terlebih dahulu demi menjaga kerahasiaan data dan untuk melanjutkan interaksi dengan saya silahkan informasikan data melalui dm;Netral;
salam sehat ibu venti peserta bisa cetak kartu e id jkn kis melalui aplikasi mobile jkn jika status kartu aktif terima kasih;Netral;
dari jaminan kesehatan bpjs dan kepemilikan rumah tapera rakyat Indonesia dituntut mandiri negara hanya mengelola dan menghabiskan uang gaji saya;Negatif;
peserta dapat menghubungi cp terima kasih;Netral;
salam sehat bapak ozi mohon maaf atas ketidaknyamanannya aplikasi mobile jkn sedang ada perbaikan jadi belum bisa diakses saat ini silahkan dicoba secara berkala ya terima kasih;Netral;
halo min mau tanya kalau kehamilan ektopik apakah ditanggung biaya operasinya oleh bpjs kesehatan ya dan apabila memerlukan transfusi darah apakah juga ditanggung bpjs kesehatan ya mohon info ya min terima kasih;Netral;
iuran bpjs dinaikkan agar bpjs ngga bangkrut beban kesehatan yang ditanggung oleh bpjs mencapai lima puluh dua koma empat milyar lagian untuk kelas tiga masih di subsidi pemerintah kalo udah ngga disubsidi baru dah lu boleh koar koar;Positif;
kebijakan ini spiritnya bagus dan udah lama diterapin di beberapa negara lain karena tujuannya buat membantu mereka yg lagi butuh tempat tinggal layak tinggal nanti implementasinya jangan sampe kejadian kayak bpjs kesehatan yang terus rugi;Positif;
terus bakal banyak yang bilang kalo kalian udah punya rumah ya anggap aja ini sumbangan buat yang nggak mampu macam iuran bpjs kesehatan itu dan gue cuma bisa bilang terserah;Negatif;
prinsip dari program tapera mirip sama bpjs kesehatan dan bpjs ketenagakerjaan yang intinya peserta membayar iuran kalau di tapera disebut simpanan nah benefitnya peserta bisa menikmati manfaat tertentu kalau di bpjs kesehatan kita berobat gratis walau banyak terms and conditions;Positif;
gua nggak pernah se kesel ini dengan pemerintah tambahan potongan tiga persen ini kenapa dah nggak cukup apa ya pph bpjs kesehatan bpjs ketenagakerjaan tunjangan hari tua sistemnya gimana lagi tapera mending bantuan perumahan murah aja;Negatif;
selamat malam sahabat perihal yang sahabat maksud saat ini untuk  bpjs kesehatan atau  bpjs ketenagakerjaan;Netral;
fakta sudah berbicara bahwa tidak ada yang gratis dalam sistem kapitalisme kesehatan yang seharusnya tanggung jawab negara di alihkan ke individu melalui bpjs negara berlepas tangan mau menyangkal ;Negatif;
jadi selain iuran bpjs tk dan kesehatan ada iuran baru tapera itu semacam tabungan wajib buat semua pekerja uangnya dikelola untuk softloan penyediaan hunian layak beli bangun atau rehab pekerja selain nabung disitu bisa peserta peminjam juga besar simpanan tiga persen per bulan dari gaji;Positif;
muncul lagi bpjs jilid tiga potong ketenagakerjaan potong kesehatan potong perumahan nih ntar gaji yang ada jadi arisan semua muter bae sampe tuek ;Negatif;
ya allah ini mau sampe kapan kaya gini udh gada pemasukan mau lahiran galau di puskesmas apa rs biar sama sama pake bpjs cuma masih ngeri namanya saya ga ngerti takutnya nanti ada biaya diluar itu yg ga tercover sama bpjs ga ada uang pula;Netral;
harusnya bisa digugat entah itu di ma atau mk saya gak paham sebenernya saya sangat berharap banget perpu baru ini di ramein biar ada yang gugat kayak kenaikan iuran bpjs kesehatan ;Negatif;
kalo sistemnya kayak bpjs kek nya keberatan deh kalo buat tempat tinggal kalo kesehatan masih oke aja sih meskipun duitnya di korupsi mari pantau dulu;Negatif;
kalo saya liat detail potongan di slip gaji untuk bpjs kesehatan satu persen tk tiga persen kalo ditambahin tapera dua setengah persen karyawan kena potong enam koma lima persen abis aja udah;Negatif;
banyak min kalo digabungin sama potongan bpjs tk dan kesehatan jadi makin sedih ;Negatif;
gak cuma asn aja bumn swasta juga tadi di media begitu kalo dibuat wajib nasional seperti bpjs kesehatan dong kalo yg udah punya rumah buat apa ya iuran tapera dan diberikan setelah pensiun dana pensiun pun sdh dipotong dari upah karyawan;Negatif;
melunasi tunggakan iuran namun tunggakan iuran tetap menjadi tunggakan peserta selanjutnya data diusulkan menjadi peserta penerima bantuan iuran yang iurannya ditanggung oleh pemerintah sesuai dengan basis data terpadu;Positif;
salam sehat bapak yahya fktp itu puskesmas atau klinik atau dokter perorangan peserta bisa pilih yang terdekat dari tempat tinggal terima kasih;Netral;
apalagi ini tah berapa persen gaji ini dipotong untuk bpjs kesehatan bpjs tenaga kerja sekarang ini lagi;Negatif;
pusing habis bayar bpjs kesehatan yg rate nya berubah ubah ;Negatif;
bpjs yang mana ada yang naker beres beres aja yang kesehatan yang bermasalah karena ada beda kepentingan ada sejumlah besar rakyat ngemplang baru bayar iuran pas sakit setelah sembuh stop bayar;Positif;
ribuan orang menandatangani petisi yang isinya menolak kenaikkan iuran bpjs kesehatan ini karena kenaikan iuran di tengah pandemi dinilai akan membuat kehidupan masyarakat semakin sulit;Negatif;
mohon maaf atas ketidaknyamanannya setiap pertanyaan yang masuk akan kami jawab sesuai dengan urutan antrian pertanyaan yang masuk di sistem layanan jaminan kesehatan kini dalam genggaman mari download mobile jkn di play store atau app store;Netral;
bamsoet panggilan akrabnya mendorong pemerintah terus memantau biaya perawatan pasien covid seluruhnya ditanggung oleh bpjs kesehatan;Positif;
terserah lu aja dah ntar kalo duit itu ilang tinggal ngomong salah kelola kayak bpjs kesehatan;Negatif;
bpjs untuk kesehatan uangnya tidak dikembalikan kalau tapera uangnya dikembalikan seperti menabung kalau menurut berita yg saya baca;Netral;
sudah dibebankan bpjs kesehatan bpjs naker sekarang ada potongan lg maksudnya apa pa jokowi manfaatnya apa potongan ini buat pekerja;Negatif;
ngitung udah ada bpjs ketenagakerjaan jht porsi karyawan dan jp porsi karyawan bpjs Kesehatan premi porsi karyawan sekarang tambah lagi tapera potongan lagi nambahin kerjaan hrd aja;Negatif;
kalau itu aku gak setuju sama kamu aku mau tanya masalah kesehatan kenapa di saat kita sedang berjuang melawan corona pak de kamu justru naikan anggaran bpjs bahkan mbak rika cipta salah satu anggota pdi menolak itu tolong kamu jelaskan;Negatif;
baru baca pp no dua lima tahun dua ribu dua puluh tentang tabungan perumahan rakyat oleh presiden kita tercinta bapak jokowi nambah lagi nih pak pungutan paksa nya dari gaji untuk taper ditambah bpjs kesehatan ketenagakerjaan sisa gaji tinggal kartunya;Negatif;
bpjs kesehatan bangun sinergi berskala global ;Netral;
plus yg dari swasta ya kayak dulu askes jamsostek dilebur jd bpjs kesehatan jadi tidak jelas;Negatif;
