,STOP_REMOVAL,STEMMING,Text_Token,Sentiment
559,gaji potong bpjs kesehatan memilih memanfaatkan nggak eligible koma persen gaji iya memanfaatkan,gaji potong bpjs sehat pilih manfaat nggak eligible koma persen gaji iya manfaat,"['gaji', 'potong', 'bpjs', 'sehat', 'pilih', 'manfaat', 'nggak', 'eligible', 'koma', 'persen', 'gaji', 'iya', 'manfaat']",Negatif
560,biaya perawatan kesehatan mahal bayar bpjs,biaya awat sehat mahal bayar bpjs,"['biaya', 'awat', 'sehat', 'mahal', 'bayar', 'bpjs']",Netral
561,sih potong bpjs ketenagakerjaan kesehatan persen tapera abis gaji,sih potong bpjs ketenagakerjaan sehat persen tapera abis gaji,"['sih', 'potong', 'bpjs', 'ketenagakerjaan', 'sehat', 'persen', 'tapera', 'abis', 'gaji']",Negatif
562,salam sehat indikasi medis dijamin penjaminan konfirmasi petugas bpjs rumah sakit terima kasih,salam sehat indikasi medis jamin jamin konfirmasi tugas bpjs rumah sakit terima kasih,"['salam', 'sehat', 'indikasi', 'medis', 'jamin', 'jamin', 'konfirmasi', 'tugas', 'bpjs', 'rumah', 'sakit', 'terima', 'kasih']",Netral
563,selamat pagi tolong cek bpjs kesehatan milik ayah status pesertaannya informasi nomor bpjs,selamat pagi tolong cek bpjs sehat milik ayah status serta informasi nomor bpjs,"['selamat', 'pagi', 'tolong', 'cek', 'bpjs', 'sehat', 'milik', 'ayah', 'status', 'serta', 'informasi', 'nomor', 'bpjs']",Netral
564,salam sehat ubah data nama maksimal lahir diubah kendala berobat terima kasih,salam sehat ubah data nama maksimal lahir ubah kendala obat terima kasih,"['salam', 'sehat', 'ubah', 'data', 'nama', 'maksimal', 'lahir', 'ubah', 'kendala', 'obat', 'terima', 'kasih']",Netral
565,kerahasiaan datanya cek terima kasih,rahasia data cek terima kasih,"['rahasia', 'data', 'cek', 'terima', 'kasih']",Netral
566,calo legislatif manajemen bpjs kesehatan diperbaiki,calo legislatif manajemen bpjs sehat baik,"['calo', 'legislatif', 'manajemen', 'bpjs', 'sehat', 'baik']",Negatif
567,membongkar penyebab defisit bpjs kesehatan ,bongkar sebab defisit bpjs sehat,"['bongkar', 'sebab', 'defisit', 'bpjs', 'sehat']",Netral
568,sahabat mengurangi penyebaran covid menerapkan new normal nih menerapkan new normal mudah loh disiplin sih disiplin yuk simak infografis,sahabat kurang sebar covid terap new normal nih terap new normal mudah loh disiplin sih disiplin yuk simak infografis,"['sahabat', 'kurang', 'sebar', 'covid', 'terap', 'new', 'normal', 'nih', 'terap', 'new', 'normal', 'mudah', 'loh', 'disiplin', 'sih', 'disiplin', 'yuk', 'simak', 'infografis']",Netral
569,contoh kecilnya korona banget keluyuran peduli kesehatan orang bayar bpjs tutup menutupi kekurangan sayang kadang manusia diluar batas normal,contoh kecil korona banget keluyur peduli sehat orang bayar bpjs tutup tutup kurang sayang kadang manusia luar batas normal,"['contoh', 'kecil', 'korona', 'banget', 'keluyur', 'peduli', 'sehat', 'orang', 'bayar', 'bpjs', 'tutup', 'tutup', 'kurang', 'sayang', 'kadang', 'manusia', 'luar', 'batas', 'normal']",Netral
570,kasih opini bpjs bpjs tau morat marit rada arah bangkrut pola hidup masyarakat bandel orang keluaran kesehatan paham betapa susahnya mengedukasi orang pola pikir macem macem,kasih opini bpjs bpjs tau morat marit rada arah bangkrut pola hidup masyarakat bandel orang keluar sehat paham betapa susah edukasi orang pola pikir macem macem,"['kasih', 'opini', 'bpjs', 'bpjs', 'tau', 'morat', 'marit', 'rada', 'arah', 'bangkrut', 'pola', 'hidup', 'masyarakat', 'bandel', 'orang', 'keluar', 'sehat', 'paham', 'betapa', 'susah', 'edukasi', 'orang', 'pola', 'pikir', 'macem', 'macem']",Netral
571,potongan bpjs ketenagakerjaan bpjs kesehatan memberatkan detailkan fungsi karyawan swasta,potong bpjs ketenagakerjaan bpjs sehat berat detail fungsi karyawan swasta,"['potong', 'bpjs', 'ketenagakerjaan', 'bpjs', 'sehat', 'berat', 'detail', 'fungsi', 'karyawan', 'swasta']",Negatif
572,persis kayak bpjs kesehatan asalnya askesnya pns intinya sih kebijakan dulunya pns generalisir swasta subsidi silang sih memanfaatkan bp tapera,persis kayak bpjs sehat asal askesnya pns inti sih bijak dulunya pns generalisir swasta subsidi silang sih manfaat bp tapera,"['persis', 'kayak', 'bpjs', 'sehat', 'asal', 'askesnya', 'pns', 'inti', 'sih', 'bijak', 'dulunya', 'pns', 'generalisir', 'swasta', 'subsidi', 'silang', 'sih', 'manfaat', 'bp', 'tapera']",Negatif
573,bp tapera penyempurnaan bapertarum pns sebenernya bpjs kesehatan askesnya pns intinya sih tapera bantuan pembiayaan rumah dulunya dikelola bapertarum pns,bp tapera sempurna bapertarum pns sebenernya bpjs sehat askesnya pns inti sih tapera bantu biaya rumah dulunya kelola bapertarum pns,"['bp', 'tapera', 'sempurna', 'bapertarum', 'pns', 'sebenernya', 'bpjs', 'sehat', 'askesnya', 'pns', 'inti', 'sih', 'tapera', 'bantu', 'biaya', 'rumah', 'dulunya', 'kelola', 'bapertarum', 'pns']",Netral
574,ngomong utamakan kesehatan lapangan iuran bpjs dinaikkan obat obat mahal beli namanya gunanya bpjs orang penyakitan,ngomong utama sehat lapang iur bpjs naik obat obat mahal beli nama guna bpjs orang sakit,"['ngomong', 'utama', 'sehat', 'lapang', 'iur', 'bpjs', 'naik', 'obat', 'obat', 'mahal', 'beli', 'nama', 'guna', 'bpjs', 'orang', 'sakit']",Negatif
575,terkena phk mendaftar bpjs kesehatan mandiri pendaftaran online,kena phk daftar bpjs sehat mandiri daftar online,"['kena', 'phk', 'daftar', 'bpjs', 'sehat', 'mandiri', 'daftar', 'online']",Netral
576,bpjs kesehatan perhatian penderita hipertensi diabetes covid ,bpjs sehat perhati derita hipertensi diabetes covid,"['bpjs', 'sehat', 'perhati', 'derita', 'hipertensi', 'diabetes', 'covid']",Positif
577,cek terima kasih,cek terima kasih,"['cek', 'terima', 'kasih']",Netral
578,bpjs melayani perjuangan haryanah jalani kemoterapi jkn kis,bpjs layan juang haryanah jalan kemoterapi jkn kis,"['bpjs', 'layan', 'juang', 'haryanah', 'jalan', 'kemoterapi', 'jkn', 'kis']",Positif
579,kaya biaya kesehatan murah rumah sakit bpjs subsidi negara,kaya biaya sehat murah rumah sakit bpjs subsidi negara,"['kaya', 'biaya', 'sehat', 'murah', 'rumah', 'sakit', 'bpjs', 'subsidi', 'negara']",Netral
580,chika sahabat peserta jkn kis memudahkan masyarakat,chika sahabat serta jkn kis mudah masyarakat,"['chika', 'sahabat', 'serta', 'jkn', 'kis', 'mudah', 'masyarakat']",Positif
581,jokowi teken pp tapera gaji pekerja dipotong tabungan perumahan pegawai swasta pekerja mandiri potensial iuran bpjs kesehatan ruwet persetujuan dpr pp,jokowi teken pp tapera gaji kerja potong tabung rumah pegawai swasta kerja mandiri potensial iur bpjs sehat ruwet tuju dpr pp,"['jokowi', 'teken', 'pp', 'tapera', 'gaji', 'kerja', 'potong', 'tabung', 'rumah', 'pegawai', 'swasta', 'kerja', 'mandiri', 'potensial', 'iur', 'bpjs', 'sehat', 'ruwet', 'tuju', 'dpr', 'pp']",Negatif
582,kartu bpjs kesehatan hilang menggantinya terima kasih,kartu bpjs sehat hilang ganti terima kasih,"['kartu', 'bpjs', 'sehat', 'hilang', 'ganti', 'terima', 'kasih']",Netral
583,bpjs kesehatan perkenalkan jkn kis dunia internasional warta ekonomi online ,bpjs sehat kenal jkn kis dunia internasional warta ekonomi online,"['bpjs', 'sehat', 'kenal', 'jkn', 'kis', 'dunia', 'internasional', 'warta', 'ekonomi', 'online']",Netral
584,bpjs kesehatan pati salurkan bantuan bpjs peduli membantu masyarakat,bpjs sehat pati salur bantu bpjs peduli bantu masyarakat,"['bpjs', 'sehat', 'pati', 'salur', 'bantu', 'bpjs', 'peduli', 'bantu', 'masyarakat']",Positif
585,dana haji ditilep uang kuliah dinaikan bpjs kesehatan gaji potong buruh phk bumn bangkrut utang meroket harga bbm lu bilang ditangan jokowi indonesia sejahtera adil makmur terserah,dana haji ditilep uang kuliah naik bpjs sehat gaji potong buruh phk bumn bangkrut utang roket harga bbm lu bilang tang jokowi indonesia sejahtera adil makmur serah,"['dana', 'haji', 'ditilep', 'uang', 'kuliah', 'naik', 'bpjs', 'sehat', 'gaji', 'potong', 'buruh', 'phk', 'bumn', 'bangkrut', 'utang', 'roket', 'harga', 'bbm', 'lu', 'bilang', 'tang', 'jokowi', 'indonesia', 'sejahtera', 'adil', 'makmur', 'serah']",Negatif
586,salam sehat aisyah peralihan jenis kepesertaan merubah no kartu peralihan dibantu hrd terima kasih,salam sehat aisyah alih jenis serta rubah no kartu alih bantu hrd terima kasih,"['salam', 'sehat', 'aisyah', 'alih', 'jenis', 'serta', 'rubah', 'no', 'kartu', 'alih', 'bantu', 'hrd', 'terima', 'kasih']",Netral
587,potongan pot bpjs tk kesehatan pekerja keberatan,potong pot bpjs tk sehat kerja berat,"['potong', 'pot', 'bpjs', 'tk', 'sehat', 'kerja', 'berat']",Negatif
588,bpjs kesehatan bpjs tenaga kerja jht pph nambah kolom tapera abis gaji potong,bpjs sehat bpjs tenaga kerja jht pph nambah kolom tapera abis gaji potong,"['bpjs', 'sehat', 'bpjs', 'tenaga', 'kerja', 'jht', 'pph', 'nambah', 'kolom', 'tapera', 'abis', 'gaji', 'potong']",Negatif
589,bpjs kesehatan tapera perumahan ladang pemerintah cari duit esemka ilang kabarnya gimik kampanye kemaren pindah ibukota sok sokan,bpjs sehat tapera rumah ladang perintah cari duit esemka ilang kabar gimik kampanye kemaren pindah ibukota sok sok,"['bpjs', 'sehat', 'tapera', 'rumah', 'ladang', 'perintah', 'cari', 'duit', 'esemka', 'ilang', 'kabar', 'gimik', 'kampanye', 'kemaren', 'pindah', 'ibukota', 'sok', 'sok']",Negatif
590,tapera yaa banget iuran bpjs kesehatan ketenaga kerjaan  taspen abis gaji potong,tapera yaa banget iur bpjs sehat tenaga kerja taspen abis gaji potong,"['tapera', 'yaa', 'banget', 'iur', 'bpjs', 'sehat', 'tenaga', 'kerja', 'taspen', 'abis', 'gaji', 'potong']",Negatif
591,goblok baca hutang dimana potongan hutang goblok potongan bpjs kesehatan ketenegakerjaan pensiun potongan dana sosial potongan uang koperasi paham lo dul,goblok baca hutang mana potong hutang goblok potong bpjs sehat ketenegakerjaan pensiun potong dana sosial potong uang koperasi paham lo dul,"['goblok', 'baca', 'hutang', 'mana', 'potong', 'hutang', 'goblok', 'potong', 'bpjs', 'sehat', 'ketenegakerjaan', 'pensiun', 'potong', 'dana', 'sosial', 'potong', 'uang', 'koperasi', 'paham', 'lo', 'dul']",Negatif
592,mohon maaf informasi dm terima informasikan silahkan dicek terima kasih,mohon maaf informasi dm terima informasi silah cek terima kasih,"['mohon', 'maaf', 'informasi', 'dm', 'terima', 'informasi', 'silah', 'cek', 'terima', 'kasih']",Netral
593,iuran bpjs kesehatan dinaikan pemerintah dinilai hormati ma,iur bpjs sehat naik perintah nilai hormat ma,"['iur', 'bpjs', 'sehat', 'naik', 'perintah', 'nilai', 'hormat', 'ma']",Negatif
594,senang hati informasi dm terima interaksi dilanjutkan dm terima kasih,senang hati informasi dm terima interaksi lanjut dm terima kasih,"['senang', 'hati', 'informasi', 'dm', 'terima', 'interaksi', 'lanjut', 'dm', 'terima', 'kasih']",Netral
595,salam sehat elvina peserta jkn kis mandiri wajib autodebet no rekening mendaftar rekening autodebet terima kasih,salam sehat elvina serta jkn kis mandiri wajib autodebet no rekening daftar rekening autodebet terima kasih,"['salam', 'sehat', 'elvina', 'serta', 'jkn', 'kis', 'mandiri', 'wajib', 'autodebet', 'no', 'rekening', 'daftar', 'rekening', 'autodebet', 'terima', 'kasih']",Netral
596,senang hati interaksi dilanjutkan dm terima kasih,senang hati interaksi lanjut dm terima kasih,"['senang', 'hati', 'interaksi', 'lanjut', 'dm', 'terima', 'kasih']",Netral
597,salam sehat hodi status kartu penangguhan pembayaran menunggu iuran terbentuk iuran dibayarkan status aktif terima kasih,salam sehat hodi status kartu tangguh bayar tunggu iur bentuk iur bayar status aktif terima kasih,"['salam', 'sehat', 'hodi', 'status', 'kartu', 'tangguh', 'bayar', 'tunggu', 'iur', 'bentuk', 'iur', 'bayar', 'status', 'aktif', 'terima', 'kasih']",Netral
598,salam sehat shine mohon maaf januari maret terhitung kenaikan iuran april iurannya diturunkan kelebihan pembayaran april dialihkan mei terima kasih,salam sehat shine mohon maaf januari maret hitung naik iur april iur turun lebih bayar april alih mei terima kasih,"['salam', 'sehat', 'shine', 'mohon', 'maaf', 'januari', 'maret', 'hitung', 'naik', 'iur', 'april', 'iur', 'turun', 'lebih', 'bayar', 'april', 'alih', 'mei', 'terima', 'kasih']",Netral
599,salam sehat hadera covid beralih kepesertaan jkn kis mandiri bantu verifikasi pengajuan peralihan peserta jkn kis mandiri silahkan dilengkapi data dm,salam sehat hadera covid alih serta jkn kis mandiri bantu verifikasi aju alih serta jkn kis mandiri silah lengkap data dm,"['salam', 'sehat', 'hadera', 'covid', 'alih', 'serta', 'jkn', 'kis', 'mandiri', 'bantu', 'verifikasi', 'aju', 'alih', 'serta', 'jkn', 'kis', 'mandiri', 'silah', 'lengkap', 'data', 'dm']",Netral
600,salam sehat bantu pengecekan data menjaga kerahasiaan data melanjutkan interaksi silahkan informasikan data dm,salam sehat bantu kece data jaga rahasia data lanjut interaksi silah informasi data dm,"['salam', 'sehat', 'bantu', 'kece', 'data', 'jaga', 'rahasia', 'data', 'lanjut', 'interaksi', 'silah', 'informasi', 'data', 'dm']",Netral
601,salam sehat venti peserta cetak kartu e id jkn kis aplikasi mobile jkn status kartu aktif terima kasih,salam sehat venti serta cetak kartu e id jkn kis aplikasi mobile jkn status kartu aktif terima kasih,"['salam', 'sehat', 'venti', 'serta', 'cetak', 'kartu', 'e', 'id', 'jkn', 'kis', 'aplikasi', 'mobile', 'jkn', 'status', 'kartu', 'aktif', 'terima', 'kasih']",Netral
602,jaminan kesehatan bpjs kepemilikan rumah tapera rakyat Indonesia dituntut mandiri negara mengelola menghabiskan uang gaji,jamin sehat bpjs milik rumah tapera rakyat indonesia tuntut mandiri negara kelola habis uang gaji,"['jamin', 'sehat', 'bpjs', 'milik', 'rumah', 'tapera', 'rakyat', 'indonesia', 'tuntut', 'mandiri', 'negara', 'kelola', 'habis', 'uang', 'gaji']",Negatif
603,peserta menghubungi cp terima kasih,serta hubung cp terima kasih,"['serta', 'hubung', 'cp', 'terima', 'kasih']",Netral
604,salam sehat ozi mohon maaf ketidaknyamanannya aplikasi mobile jkn perbaikan diakses silahkan dicoba berkala terima kasih,salam sehat ozi mohon maaf ketidaknyamanannya aplikasi mobile jkn baik akses silah coba kala terima kasih,"['salam', 'sehat', 'ozi', 'mohon', 'maaf', 'ketidaknyamanannya', 'aplikasi', 'mobile', 'jkn', 'baik', 'akses', 'silah', 'coba', 'kala', 'terima', 'kasih']",Netral
605,kehamilan ektopik ditanggung biaya operasinya bpjs kesehatan transfusi darah ditanggung bpjs kesehatan mohon info terima kasih,hamil ektopik tanggung biaya operasi bpjs sehat transfusi darah tanggung bpjs sehat mohon info terima kasih,"['hamil', 'ektopik', 'tanggung', 'biaya', 'operasi', 'bpjs', 'sehat', 'transfusi', 'darah', 'tanggung', 'bpjs', 'sehat', 'mohon', 'info', 'terima', 'kasih']",Netral
606,iuran bpjs dinaikkan bpjs ngga bangkrut beban kesehatan ditanggung bpjs mencapai puluh koma milyar kelas subsidi pemerintah ngga disubsidi dah lu koar koar,iur bpjs naik bpjs ngga bangkrut beban sehat tanggung bpjs capai puluh koma milyar kelas subsidi perintah ngga subsidi dah lu koar koar,"['iur', 'bpjs', 'naik', 'bpjs', 'ngga', 'bangkrut', 'beban', 'sehat', 'tanggung', 'bpjs', 'capai', 'puluh', 'koma', 'milyar', 'kelas', 'subsidi', 'perintah', 'ngga', 'subsidi', 'dah', 'lu', 'koar', 'koar']",Positif
607,kebijakan spiritnya bagus diterapin negara tujuannya membantu butuh tinggal layak tinggal implementasinya sampe kejadian kayak bpjs kesehatan rugi,bijak spirit bagus diterapin negara tuju bantu butuh tinggal layak tinggal implementasi sampe jadi kayak bpjs sehat rugi,"['bijak', 'spirit', 'bagus', 'diterapin', 'negara', 'tuju', 'bantu', 'butuh', 'tinggal', 'layak', 'tinggal', 'implementasi', 'sampe', 'jadi', 'kayak', 'bpjs', 'sehat', 'rugi']",Positif
608,bilang rumah anggap sumbangan nggak iuran bpjs kesehatan bilang terserah,bilang rumah anggap sumbang nggak iur bpjs sehat bilang serah,"['bilang', 'rumah', 'anggap', 'sumbang', 'nggak', 'iur', 'bpjs', 'sehat', 'bilang', 'serah']",Negatif
609,prinsip program tapera bpjs kesehatan bpjs ketenagakerjaan intinya peserta membayar iuran tapera simpanan benefitnya peserta menikmati manfaat bpjs kesehatan berobat gratis terms and conditions,prinsip program tapera bpjs sehat bpjs ketenagakerjaan inti serta bayar iur tapera simpan benefitnya serta nikmat manfaat bpjs sehat obat gratis terms and conditions,"['prinsip', 'program', 'tapera', 'bpjs', 'sehat', 'bpjs', 'ketenagakerjaan', 'inti', 'serta', 'bayar', 'iur', 'tapera', 'simpan', 'benefitnya', 'serta', 'nikmat', 'manfaat', 'bpjs', 'sehat', 'obat', 'gratis', 'terms', 'and', 'conditions']",Positif
610,gua nggak kesel pemerintah tambahan potongan persen dah nggak pph bpjs kesehatan bpjs ketenagakerjaan tunjangan tua sistemnya gimana tapera mending bantuan perumahan murah,gua nggak kesel perintah tambah potong persen dah nggak pph bpjs sehat bpjs ketenagakerjaan tunjang tua sistem gimana tapera mending bantu rumah murah,"['gua', 'nggak', 'kesel', 'perintah', 'tambah', 'potong', 'persen', 'dah', 'nggak', 'pph', 'bpjs', 'sehat', 'bpjs', 'ketenagakerjaan', 'tunjang', 'tua', 'sistem', 'gimana', 'tapera', 'mending', 'bantu', 'rumah', 'murah']",Negatif
611,selamat malam sahabat perihal sahabat maksud  bpjs kesehatan  bpjs ketenagakerjaan,selamat malam sahabat perihal sahabat maksud bpjs sehat bpjs ketenagakerjaan,"['selamat', 'malam', 'sahabat', 'perihal', 'sahabat', 'maksud', 'bpjs', 'sehat', 'bpjs', 'ketenagakerjaan']",Netral
612,fakta berbicara gratis sistem kapitalisme kesehatan tanggung negara alihkan individu bpjs negara berlepas tangan menyangkal ,fakta bicara gratis sistem kapitalisme sehat tanggung negara alih individu bpjs negara lepas tangan sangkal,"['fakta', 'bicara', 'gratis', 'sistem', 'kapitalisme', 'sehat', 'tanggung', 'negara', 'alih', 'individu', 'bpjs', 'negara', 'lepas', 'tangan', 'sangkal']",Negatif
613,iuran bpjs tk kesehatan iuran tapera tabungan wajib pekerja uangnya dikelola softloan penyediaan hunian layak beli bangun rehab pekerja nabung disitu peserta peminjam simpanan persen gaji,iur bpjs tk sehat iur tapera tabung wajib kerja uang kelola softloan sedia huni layak beli bangun rehab kerja nabung situ serta pinjam simpan persen gaji,"['iur', 'bpjs', 'tk', 'sehat', 'iur', 'tapera', 'tabung', 'wajib', 'kerja', 'uang', 'kelola', 'softloan', 'sedia', 'huni', 'layak', 'beli', 'bangun', 'rehab', 'kerja', 'nabung', 'situ', 'serta', 'pinjam', 'simpan', 'persen', 'gaji']",Positif
614,muncul bpjs jilid potong ketenagakerjaan potong kesehatan potong perumahan nih ntar gaji arisan muter bae sampe tuek ,muncul bpjs jilid potong ketenagakerjaan potong sehat potong rumah nih ntar gaji arisan muter bae sampe tuek,"['muncul', 'bpjs', 'jilid', 'potong', 'ketenagakerjaan', 'potong', 'sehat', 'potong', 'rumah', 'nih', 'ntar', 'gaji', 'arisan', 'muter', 'bae', 'sampe', 'tuek']",Negatif
615,allah sampe kaya gini udh gada pemasukan lahiran galau puskesmas rs biar pake bpjs ngeri namanya ngerti takutnya biaya diluar tercover bpjs uang,allah sampe kaya gin udh gada pasu lahir galau puskesmas rs biar pake bpjs ngeri nama ngerti takut biaya luar tercover bpjs uang,"['allah', 'sampe', 'kaya', 'gin', 'udh', 'gada', 'pasu', 'lahir', 'galau', 'puskesmas', 'rs', 'biar', 'pake', 'bpjs', 'ngeri', 'nama', 'ngerti', 'takut', 'biaya', 'luar', 'tercover', 'bpjs', 'uang']",Netral
616,digugat ma mk paham sebenernya berharap banget perpu ramein biar gugat kayak kenaikan iuran bpjs kesehatan ,gugat ma mk paham sebenernya harap banget perpu ramein biar gugat kayak naik iur bpjs sehat,"['gugat', 'ma', 'mk', 'paham', 'sebenernya', 'harap', 'banget', 'perpu', 'ramein', 'biar', 'gugat', 'kayak', 'naik', 'iur', 'bpjs', 'sehat']",Negatif
617,sistemnya kayak bpjs kek keberatan deh tinggal kesehatan sih duitnya korupsi mari pantau,sistem kayak bpjs kek berat deh tinggal sehat sih duit korupsi mari pantau,"['sistem', 'kayak', 'bpjs', 'kek', 'berat', 'deh', 'tinggal', 'sehat', 'sih', 'duit', 'korupsi', 'mari', 'pantau']",Negatif
618,liat detail potongan slip gaji bpjs kesehatan persen tk persen ditambahin tapera persen karyawan kena potong enam koma persen abis,liat detail potong slip gaji bpjs sehat persen tk persen ditambahin tapera persen karyawan kena potong enam koma persen abis,"['liat', 'detail', 'potong', 'slip', 'gaji', 'bpjs', 'sehat', 'persen', 'tk', 'persen', 'ditambahin', 'tapera', 'persen', 'karyawan', 'kena', 'potong', 'enam', 'koma', 'persen', 'abis']",Negatif
619,digabungin potongan bpjs tk kesehatan sedih ,digabungin potong bpjs tk sehat sedih,"['digabungin', 'potong', 'bpjs', 'tk', 'sehat', 'sedih']",Negatif
620,asn bumn swasta media wajib nasional bpjs kesehatan rumah iuran tapera pensiun dana pensiun sdh dipotong upah karyawan,asn bumn swasta media wajib nasional bpjs sehat rumah iur tapera pensiun dana pensiun sdh potong upah karyawan,"['asn', 'bumn', 'swasta', 'media', 'wajib', 'nasional', 'bpjs', 'sehat', 'rumah', 'iur', 'tapera', 'pensiun', 'dana', 'pensiun', 'sdh', 'potong', 'upah', 'karyawan']",Negatif
621,melunasi tunggakan iuran tunggakan iuran tunggakan peserta data diusulkan peserta penerima bantuan iuran iurannya ditanggung pemerintah sesuai basis data terpadu,lunas tunggak iur tunggak iur tunggak serta data usul serta terima bantu iur iur tanggung perintah sesuai basis data padu,"['lunas', 'tunggak', 'iur', 'tunggak', 'iur', 'tunggak', 'serta', 'data', 'usul', 'serta', 'terima', 'bantu', 'iur', 'iur', 'tanggung', 'perintah', 'sesuai', 'basis', 'data', 'padu']",Positif
622,salam sehat yahya fktp puskesmas klinik dokter perorangan peserta pilih terdekat tinggal terima kasih,salam sehat yahya fktp puskesmas klinik dokter orang serta pilih dekat tinggal terima kasih,"['salam', 'sehat', 'yahya', 'fktp', 'puskesmas', 'klinik', 'dokter', 'orang', 'serta', 'pilih', 'dekat', 'tinggal', 'terima', 'kasih']",Netral
623,tah persen gaji dipotong bpjs kesehatan bpjs tenaga kerja,tah persen gaji potong bpjs sehat bpjs tenaga kerja,"['tah', 'persen', 'gaji', 'potong', 'bpjs', 'sehat', 'bpjs', 'tenaga', 'kerja']",Negatif
624,pusing habis bayar bpjs kesehatan rate berubah ubah ,pusing habis bayar bpjs sehat rate ubah ubah,"['pusing', 'habis', 'bayar', 'bpjs', 'sehat', 'rate', 'ubah', 'ubah']",Negatif
625,bpjs naker beres beres kesehatan bermasalah beda kepentingan rakyat ngemplang bayar iuran pas sakit sembuh stop bayar,bpjs naker beres beres sehat masalah beda penting rakyat ngemplang bayar iur pas sakit sembuh stop bayar,"['bpjs', 'naker', 'beres', 'beres', 'sehat', 'masalah', 'beda', 'penting', 'rakyat', 'ngemplang', 'bayar', 'iur', 'pas', 'sakit', 'sembuh', 'stop', 'bayar']",Positif
626,ribuan orang menandatangani petisi isinya menolak kenaikkan iuran bpjs kesehatan kenaikan iuran pandemi dinilai kehidupan masyarakat sulit,ribu orang menandatangani petisi isi tolak naik iur bpjs sehat naik iur pandemi nilai hidup masyarakat sulit,"['ribu', 'orang', 'menandatangani', 'petisi', 'isi', 'tolak', 'naik', 'iur', 'bpjs', 'sehat', 'naik', 'iur', 'pandemi', 'nilai', 'hidup', 'masyarakat', 'sulit']",Negatif
627,mohon maaf ketidaknyamanannya masuk sesuai urutan antrian masuk sistem layanan jaminan kesehatan genggaman mari download mobile jkn play store app store,mohon maaf ketidaknyamanannya masuk sesuai urut antri masuk sistem layan jamin sehat genggam mari download mobile jkn play store app store,"['mohon', 'maaf', 'ketidaknyamanannya', 'masuk', 'sesuai', 'urut', 'antri', 'masuk', 'sistem', 'layan', 'jamin', 'sehat', 'genggam', 'mari', 'download', 'mobile', 'jkn', 'play', 'store', 'app', 'store']",Netral
628,bamsoet panggilan akrabnya mendorong pemerintah memantau biaya perawatan pasien covid ditanggung bpjs kesehatan,bamsoet panggil akrab dorong perintah pantau biaya awat pasien covid tanggung bpjs sehat,"['bamsoet', 'panggil', 'akrab', 'dorong', 'perintah', 'pantau', 'biaya', 'awat', 'pasien', 'covid', 'tanggung', 'bpjs', 'sehat']",Positif
629,terserah lu dah ntar duit ilang tinggal ngomong salah kelola kayak bpjs kesehatan,serah lu dah ntar duit ilang tinggal ngomong salah kelola kayak bpjs sehat,"['serah', 'lu', 'dah', 'ntar', 'duit', 'ilang', 'tinggal', 'ngomong', 'salah', 'kelola', 'kayak', 'bpjs', 'sehat']",Negatif
630,bpjs kesehatan uangnya dikembalikan tapera uangnya dikembalikan menabung berita baca,bpjs sehat uang kembali tapera uang kembali tabung berita baca,"['bpjs', 'sehat', 'uang', 'kembali', 'tapera', 'uang', 'kembali', 'tabung', 'berita', 'baca']",Netral
631,dibebankan bpjs kesehatan bpjs naker potongan lg maksudnya pa jokowi manfaatnya potongan pekerja,beban bpjs sehat bpjs naker potong lg maksud pa jokowi manfaat potong kerja,"['beban', 'bpjs', 'sehat', 'bpjs', 'naker', 'potong', 'lg', 'maksud', 'pa', 'jokowi', 'manfaat', 'potong', 'kerja']",Negatif
632,ngitung bpjs ketenagakerjaan jht porsi karyawan jp porsi karyawan bpjs Kesehatan premi porsi karyawan tapera potongan nambahin kerjaan hrd,ngitung bpjs ketenagakerjaan jht porsi karyawan jp porsi karyawan bpjs sehat premi porsi karyawan tapera potong nambahin kerja hrd,"['ngitung', 'bpjs', 'ketenagakerjaan', 'jht', 'porsi', 'karyawan', 'jp', 'porsi', 'karyawan', 'bpjs', 'sehat', 'premi', 'porsi', 'karyawan', 'tapera', 'potong', 'nambahin', 'kerja', 'hrd']",Negatif
633,setuju kesehatan berjuang melawan corona de naikan anggaran bpjs mbak rika cipta salah anggota pdi menolak tolong,tuju sehat juang lawan corona de naik anggar bpjs mbak rika cipta salah anggota pdi tolak tolong,"['tuju', 'sehat', 'juang', 'lawan', 'corona', 'de', 'naik', 'anggar', 'bpjs', 'mbak', 'rika', 'cipta', 'salah', 'anggota', 'pdi', 'tolak', 'tolong']",Negatif
634,baca pp no ribu puluh tabungan perumahan rakyat presiden tercinta jokowi nambah nih pungutan paksa gaji taper ditambah bpjs kesehatan ketenagakerjaan sisa gaji tinggal kartunya,baca pp no ribu puluh tabung rumah rakyat presiden cinta jokowi nambah nih pungut paksa gaji taper tambah bpjs sehat ketenagakerjaan sisa gaji tinggal kartu,"['baca', 'pp', 'no', 'ribu', 'puluh', 'tabung', 'rumah', 'rakyat', 'presiden', 'cinta', 'jokowi', 'nambah', 'nih', 'pungut', 'paksa', 'gaji', 'taper', 'tambah', 'bpjs', 'sehat', 'ketenagakerjaan', 'sisa', 'gaji', 'tinggal', 'kartu']",Negatif
635,bpjs kesehatan bangun sinergi berskala global ,bpjs sehat bangun sinergi skala global,"['bpjs', 'sehat', 'bangun', 'sinergi', 'skala', 'global']",Netral
