,Data_Text,Sentiment
647,bpjs sehat ketua fpgh dorong kerja anggota,Netral
648,widy daftar autodebit bayar bpjs sehat bayar manual double bayar email notifikasi tdk nominal debet ibu dpt kece mutasi mandiri online,Netral
649,kerja buruh tenaga medis tenaga sehat kategori implikasi santun jamin celaka kerja bpjs ketenagakerjaan,Netral
650,salam sehat dila alih serta pbpu mandiri bantu dm isi data nomor kartu nomor telepon nomor rekening,Netral
651,ganjarpranowo harap bpjs ketenagakerjaan peran tata usaha kerja patuh protokol sehat biasa,Netral
652,dm bantu proses alih terima kasih,Netral
653,mohon maaf ketidaknyamanannya masuk sesuai urut antri masuk sistem layan jamin sehat genggam mari download mobile jkn play store app store nikmat,Netral
654,bpjs kartu hilang lupa nomor kartu nomor kartu bpjs sehat,Netral
655,coba rs khusus ortopedi surabaya kayak operasi wa telfon csnya bilang obat sana pakai bpjs sehat barusan konfirmasi dichat coba henti,Negatif
656,salam sehat amung sistem bayar iur autodebet wajib serta mandiri silah lapor kantor cabang bank proses daftar iur autodebet,Netral
657,tahun lawan sakit asam lambung mujiati bantu baik perintah program jkn kis segmen pbi,Positif
658,mohon maaf serta mandiri bayar iur wajib autodebet bank bni bri bca btpn mandiri panin hindar lambat bayar denda layan rawat inap tingkat terima kasih,Netral
659,ngurus gatau serta bpjs sehat wajib autodebit ngelampirkan atm buku rekening ngisi formulir tuju autodebet bank kait tau wajib bayar bebas,Negatif
660,lu sadar tax ratio bawah belas persen lu sadar serta aktif bayar bpjs sehat cuman puluh koma tujuh persen ngomong ideologi liat statistik lapang,Negatif
661,iur bpjs naik langsung sehat,Positif
662,selamat siang bpjs sehat bayar bpjs sehat via mbanking error,Netral
663,daftar bpjs sehat online sih teman teman,Netral
664,yuk bpjs sehat gelar lomba hackathon hadiah ratus puluh juta rupiah,Netral
665,dasar pres enam puluh ribu puluh perintah bantu serta jkn kis kelas,Netral
666,antri pagi bpjs sehat samsat bulak kapal bekas pake masker jaga jarak,Netral
667,info tambah kembang aplikasi bas mobile apps platform android,Netral
668,kurir salah usaha logistik bumn kasihan bpjs tenaga kerja bpjs sehat cabut semenjak kerja antar brng jalan,Negatif
669,baik jkn kis perintah bantu mujiati lawan sakit,Positif
670,bpjs pimpin temu internasional bahas jamin sehat,Netral
671,cerita soko ubah hak kelas jkn kis kendala lindung,Positif
672,salam sehat ria ubah kelas efektif laku tanggal ubah terima kasih,Netral
673,heran iur bpjs bayar tenaga sehat,Negatif
674,bpjs sehat bener bantu warga pandemi,Positif
675,jamin paksa asuransi sehat tambah paksa bpjs oh cebong pantes bego kaya si joko,Negatif
676,konsul sehat mental pake bpjs,Positif
677,rekening mobile cash bayar sistem autodebet bayar autodebit mobile cash uang elektronik sistem top up nomor handphone daftar,Netral
678,bpjs iur banding premi asuransi sehat hujat habis rakyat indonesia pandai syukur,Positif
679,bp jamsostek ketenagakerjaan bpjs sehat eh adalagi bp tapera hadeuh dapat bayar iur mulu,Negatif
680,iur bpjs sehat kaya bayar miskin,Netral
681,back up asuransi nder basic sehat minimal bpjs rezeki swasta biar kalang kabut klo opname bpjs pakai sehat ambil asuransi sakit kritis sakit kritis henti kerja,Netral
682,naik iur org hasil minim skg bpjs subsidi perintah sisa urus lurah insya allah jalan pribadi syukur bpjs jamin sehat moga manfaat,Positif
683,simpul pro kontra naik iur bpjs sehat tdk tau skrg jgn pas sakit ngurus eh tau tau ngurus blgnya ribet sulit ayo pikir bantu butuh,Positif
684,manfaat berkat jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
685,bpjs sehat cabang kota banjar klarifikasi serta derita kanker payudara ciamis,Netral
686,bpjs sehat proses verifikasi klaim rs covid,Netral
687,bpjs sehat pimpin temu virtual internasional bahas,Netral
688,terimakasih bpjs karna tanggung obat tdk bpjs tdk tau bayar obat pakai teman teman tdk sengaja baca twit jaga sehat karna sehat mahal apa,Positif
689,bpjs sehat tanggap keluh serta bpjs konfirmasi sulit banget balas dm,Negatif
690,berterimakasih allah karna sehat hak berterimakasih bpjs karna berkat ortu beban biaya rs,Positif
691,jkn kis harisomawati salah serta bpjs sehat lancar jalan cuci darah,Positif
692,salah fasilitas bpjs sehat jalan cuci darah gratis sdh bukti,Positif
693,syukur masyarakat bantu banget jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
694,budget segitu bpjs dapetin fasilitas sehat doang untung untung dapet rs emang layan bpjs bagus,Negatif
695,sehat hati tanggung bpjs,Negatif
696,ngeluh bpjs jaga sehat,Negatif
697,pandemi bahagia baca kabar pasien bpjs layan cuci darah wabah corona,Positif
698,serta bpjs sehat bantu sanak kerabat jaga sehat salah satu fasilitas cuci darah sedia terima kasih bpjs,Positif
699,butuh bayar bpjs sehat,Netral
700,bayang sih keluarga kena gagal ginjal kudu cuci darah minggu sambung idup sedih kartu jkn kis terima kasih bpjs,Positif
701,sakit meriang batuk flu manfaat kartu jkn kis asa beda keluarga cuci darah gagal ginjal serta bpjs sehat bantu,Positif
702,ajak milenial cipta inovasi digital bpjs sehat gelar kompetisi virtual hackathon,Positif
703,untung pasien serta jkn kis bayar biaya cuci darah,Positif
704,kemenkeu utang klaim jatuh tempo bayar bpjs sehat rumah sakit,Netral
705,bgt tolong jkn kis contoh nih,Positif
706,untuk ikhlas bayar naik bpjs turun kelas doa bayar bpjs sehat untuk mama sehat minum obat umur hidup tanda anak terimakasih bpjs,Positif
707,tangan rs pasien bpjs sisi ngebantu banget butuh tangan sehat,Positif
708,reaksi publik digital kait naik tarif bpjs sehat,Netral
709,emosi gara gara layan bpjs sehat bener antara tanggung loh bikin tension headache benernya sih layan merosot ngurus bpjs sehat bikin badan sehat,Negatif
710,mpo ucap terima kasih bpjs sehat,Netral
711,layan bpjs sehat puas masyarakat gotong royong tolong,Netral
712,bukti bpjs sehat tolong rakyat sakit serta bpjs sehat lancar jalan cuci darah wabah corona,Positif
713,bpjs sehat mudah serta turun kelas awat,Positif
714,mba jor joran ngeluarin duit untung bpjs sehat bantu,Positif
715,amerika utang rakyat jamin orang nganggur dpt tunjang leher jerat naik bpjs uang jamin sehat amerika sehat jamin negara lo cebong ngepet,Negatif
716,bpjs sehat layan sehat baik,Positif
717,serta bpjs sehat lancar jalan cuci darah jkn kis moga bpjs layan baik masyarakat,Positif
718,manfaat bpjs sehat rasa banget contoh pasien cuci darah biaya tercover,Positif
719,salah pasien tolong bgt sma bpjs sehat tu pasien cuci darah op dpt kamar ranap ruang cuci darah banyak pasien so happy tolong,Positif
720,terimakasih bpjs habis juta rupiah awat lansia jalan ngotot bpjs asuransi sehat doa sehat jatuh sakit biaya obat mahal,Positif
721,ngakak sih kena prank bpjs sehat iur,Negatif
722,bayang besar biaya tanggung pakai bpjs pasien cuci darah betapa bpjs bantu banget,Positif
723,dasar pres delapan pasal ganggu sehat sakit akibat gantung obat alkohol dicover bpjs,Netral
724,bahagia sehat ibu senang bpjs esehatan tenang proses obat,Positif
725,bpjs sehat bantu masyarakat layan cuci darah wabah covid,Positif
726,sih jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
727,gimana usaha bpjs sehat ketenagakerjaan pajak pake npwp gitu gaji pokok uang makan,Netral
728,bpjs sehat pres nomor enam ribu puluh jalan putus ma,Netral
729,anak masuk rumah sakit usia gratis berkat bpjs sehat sedih mikirin nasib pasien cuci darah bpjs hapus,Positif
730,jaring potensial klien bpjs sehat,Netral
731,syukur amat tiada henti ucap bibir ni made sri harisomawati syukur ucap khusus hadir program jamin sehat nasional kis,Positif
732,malam pandemi virus bpjs sehat ri layan serta jkn kis eperti serta bal terima manfaat bpjs cuci darah kali minggu moga masyarakat puas layan bpjs sehat,Positif
733,salah serta besyukur jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
734,salam sehat titi ubah faskes aplikasi mobile jkn terima kasih,Netral
735,deduction taxnya kecil bpjs sehat ketenagakerjaan wajib,Netral
736,puji tuhan bpjs sehat manfaat masyarakat moga masyarakat sehat,Positif
737,formulir daftar akses banner website bpjs sehat tanggal belas juni ribu puluh,Netral
738,senang dengar wati layan sehat bpjs sehat moga sehat,Positif
739,artikel pasien jkn kis serta bpjs sehat lancar jalan cuci darah layan bpjs sehat puas masyarakat,Positif
740,selancar sore sore nemu artikel pasien jkn kis serta bpjs sehat lancar jalan cuci darah layan bpjs sehat puas masyarakat terima kasih bpjs,Positif
741,jkn kis serta bpjs sehat harisomawati lancar jalan cuci darah minggu kali bantu,Positif
742,masya allah jkn kis serta bpjs sehat lancar jalan cuci darah bantu moga sehat amin,Positif
743,pandemi serta bpjs sehat jalan cuci darah lancar,Positif
744,ayah wanti wanti sampek telat bayar bpjs niat amal sehat tuhan syukur bayar bantu orang sakit,Positif
745,bpjs ketenagakerjaan mah bagus hitung hitung tabung pensiun celaka kerja ikutin prosedur bantu banget bpjs sehat pakai potong bpjs sehat defisit terima kasih bpjs,Positif
746,sore dipungkiri tolong bpjs sehat ri,Positif
747,naik iur harap bpjs layan baik support bpjs sehat layan baik masyarakat indonesia,Positif
748,iur bpjs harap layan fasilitas baik warga indonesia harap serta puas layan bpjs sehat bantu sakit berat,Positif
749,bpjs sehat turun turun kaya tujuh ribu ratus,Netral
750,yoi gotong royong tolong iklan masyarakat sembah bpjs sehat,Netral
751,iur bpjs relatif murah banding kualitas tangan layan bpjs sehat puasa masyarakat indonesia,Positif
752,bpjs sehat padang terap antri online via mobile jkn,Netral
753,berkat bpjs sehat serta bpjs cuci darah lanjut bpjs baik moga bpjs bantu orang,Positif
754,alhamdulillah jkn kis serta bpjs sehat lancar jalan cuci darah alami tetangga lancar cuci darah kali minggu,Positif
755,jkn kis serta bpjs sehat lancar layan cuci darah wabah corona,Positif
756,moga teman derita gagal ginjal lancar proses cuci darah rumah sakit rasa manfaat bpjs sehat,Positif
757,barusan liat info guna jkn kis bpjs sehat jalan cuci darah,Positif
758,generasi milenial tantang kembang aplikasi dampak positif serta sumbang gagas bpjs sehat,Netral
759,bpjs watch usul perintah iur jamin sehat nasional cicil,Netral
760,obrol mpo dokter pasien cuci darah harap hidup usia puluh bpjs sehat bantu pasien cuci darah tanggung biaya awat,Positif
761,serta puas layan bpjs sehat harisomawati salah pasien bpjs lancar jalan cuci darah,Positif
762,harisomawati salah pasien jkn kis rutin jalan cuci darah masa pandemi bagi manfaat serta jkn kis,Positif
763,puluh delapan persen responden halodoc top of mind aplikasi situs sehat ingat ikut alodokter klikdokter mobile jkn bpjs sehat,Netral
764,wabah corona bpjs sehat layan baik pasien jkn kis jalan cuci darah,Positif
765,fasilitas layan baik serta jkn kis bpjs sehat cuci darah,Positif
766,tanyarl pake asuransi sehat bpjs biaya bulan terima kasih,Netral
767,hamdalah berkat jkn kis serta benar rasa manfaat untung bayar iur rutin cuci darah kali minggu mantul,Positif
768,alam nunggu ortu hemodialisis bersih darah panik jamin lancar berkat jkn kis bpjs sehat,Positif
769,bpjs sehat laku antre online,Netral
770,juli tarif bpjs sehat relaksasi guna,Netral
771,jelang sore info nih bpjs sehat tanggung biaya awat lengkap link berita,Netral
772,nii nyari jdwal rs lowong cuci darah ibu bismillah moga jkn kis ibu lancar jalan cuci darah kisah,Netral
773,sosialis kerja bpjs sehat bang,Netral
774,yuk support bpjs sehat layan baik nyata loh jkn kis serta bpjs sehat lancar jalan cuci darah prinsip gotong royong tolong nih,Positif
775,bukti jkn kis bantu masyarakat salah satu harisomawati cuci darah jkn kis gotong royong tolong,Positif
776,harisomawati salah serta jkn kis rasa manfaat program jkn kis pandemi lancar jalan cuci darah,Positif
777,bpjs sehat tanggung biaya awat pasien cuci darah wabah pandemi klik,Netral
778,pasien serta bpjs sehat jalan cuci darah alhamdulillah lancar jkn kis bantu jalan obat pikir biaya,Positif
779,rasa manfaat bpjs sehat nih serta jkn kis lancar jalan cuci darah beliau syukur bpjs sehat hadir masyarakat,Positif
780,alhamdulillah serta bpjs sehat lancar cuci darah jkn kis moga cepat sembuh,Positif
781,simak deh info jkn kis serta bpjs sehat lancar jalan cuci darah alhamdulillah moga guna bantu,Positif
782,alhamdulillah jkn kis lancar jalan cuci darah manfaat serta jkn kis bpjs sehat,Positif
783,jkn kis serta bpjs sehat lancar jalan cuci darah mudah keluar layan bpjs sehat,Positif
784,jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
785,berkat bpjs sehat cuci darah lancar jalan gotong royong tolong,Positif
786,gotong royong bpjs sehat,Netral
787,tengah kondisi pasien cuci darah binggung cuci darah uan untung jkn kis bantu serta cuci darah halang,Positif
788,ipar perempuan lahir bantu bpjs sehat lahir gimana cuci darah periode bantu,Positif
789,jkn kis serta bpjs sehat lancar jalan cuci darah neng dengernya moga lekas sembuh mbak,Positif
790,jalan cuci darah rutin biaya butuh untung bpjs mengcover biaya cuci darah pasien bantu,Positif
791,bpjs sehat tolong rakyat sakit info bawah serta bpjs sehat lancar jalan cuci darah,Positif
792,tengah kondisi pasien bpjs sehat lancar loh jalan cuci darah hambat apa terima kasih bpjs sehat ri,Positif
793,bpjs sehat tolong rakyat sakit nyata baca berita bawah pasien layan cuci darah wabah corona tanggung biaya awat,Positif
794,delapan jalan obat rutin cuci darah rsud saiful anwar khawatir kait biaya obat dicover bpjs sehat syukur,Positif
795,wabah bpjs sehat tolong rakyat sakit salah saksi serta lancar jalan cuci darah,Positif
796,suka main sakit mama tugas curhatan pasien nih cerita berkat jkn kis bpjs sehat rutin cuci darah,Positif
797,bpjs sehat tolong bantu bangun masyarakat,Positif
798,manfaat jkn kis contoh serta bpjs sehat lancar jalan cuci darah pikir biaya mahal,Positif
799,serta bpjs sehat lancar cuci darah manfaat jkn kis,Positif
800,gimana iur bpjs sehat putus mk tolong bilangin jokowi jgn suka langgar uu gimana rakyat sableng ajarin bener,Negatif
801,wujud nyata kerja bpjs serta jkn kis jalan cuci darah lancar bpjs sehat dukung gotong royong tolong,Positif
802,jkn kis serta bpjs sehat lancar jalan program cuci darah beliau syukur jkn kis,Positif
803,jkn kis bpjs sehat dipake ngecover pasien cuci darah moga gotong royong tolong,Netral
804,pro rakyat harga bbm tarif listrik bpjs sehat bikin nang,Negatif
805,bayar tagih kartu sm bpjs sehat kelas suka vertigo gerd bikin pusing,Negatif
806,biaya bpjs sehat gin turun berat,Negatif
807,pimpin tdk moral petinggi negara ngatur bbm harga ngak turun caplok freeport ngak jamin sehat ngak,Negatif
808,pancasila air beli lapang kerja gampan usaha saldo nol ngejar harta harta titip tuhan pancasila iur sehat,Negatif
809,bpjs sehat cuci darah mudah,Positif
810,miris bpjs pandemi kunjung reda,Negatif
811,biar kagak lupa orang gantung bpjskesehatan istri lahir mending langsung rs deh faskes apa nama langsung rs biar susah ngurusinnya,Negatif
812,cukai naik deh subsidi bpjs sembari ngerokok amal ngomongin dampak buruk sehat soft drink sehat rokok energy drink bebas lenggang biar bpjs naikin iur berat masyarakat,Negatif
813,didik gratis sehat gratis bpjs nunggak listrik subsidi diem diem rangkak pertamina tolak ukur gejolak aneh berat,Negatif
814,bpjs tk sehat gopek ngabisin gaji,Negatif
815,kalimat kau bilang merdeka bukti nama merdeka damai rakyat tdk sengsara sehat kerja jamin negara bpjs naik iur kerja pake tka,Negatif
816,iur bpjs,Negatif
817,layan sehat bpjs,Negatif
818,iur bpjs sehat masyarakat tanggung perintah,Negatif
819,iya tri harga bpjs rs swasta mahal terima kasih perintah jokowi sehat selamat rakyat bangsa,Positif
820,asli deh bosen bgt ngadepin org konsultasi sakit butuh periksa bingung gara bpjs serius asuransi sehat karna akses layan sehat butuh primer inget jgn ngegampangin ngasih tau nyesel,Positif
821,free country green cardbya liat gonjreng gt propaganda mah sistem sehat bpjs kagak,Negatif
822,perintah pikir keras baik sistem bpjs sejajar layan asuransi sehat tdk anggap sumbang bantu rakyat tdk banyak dokter layan lapis masyarakat dlm terima fasilitas sehat,Negatif
823,rencana naik iur bpjs sehat nilai cacat hukum,Negatif
824,biaya sehat bilang jangkau bpjs bilang murah manfaat banget,Positif
825,pantes series new amsterdam diceritain gimana jelek sistem sehat indonesia suka bete bpjs turut engga mahal,Positif
826,kemaren sakit kudu pis rapid test mahal tanggung bpjs jaga sehat,Negatif
827,naikin tarif bpjs sehat ngeluh tambah nih menteri gaji pake uang rakyat,Negatif
828,iur bpjs sehat daya beli masyarakat rendah sulit,Negatif
829,manfaat terima serta jamin sehat nasional jkn,Positif
830,naik iur bpjs sehat wajar jangkau,Positif
831,gin bpjs bubar nabung segitu kali tujuh keluarga membackup sehat keluarga,Negatif
832,iur gin orang mending bpjs asuransi lbh murah,Negatif
833,bpjs sehat produk asuransi paksa berat masyarakat,Negatif
834,iya kalang tengah ancam miskin pandemi permasalahin tengah pandemi notabene kaya sampe miskin kena imbas pake bpjs sehat sih emang masalah pake bpjstk,Negatif
835,anjing dipikirin nominal duit melulu lo tau bpjs hak sehat warga wajib negara,Negatif
836,perintah mata duit iur dinaikin ngeberatin,Negatif
837,bayar pajak bayar iur bpjs terobos bpjs laku transformasi digital radikal pakai mindset startup digital laku tingkat sehat masyarakat,Negatif
838,bpjs sehat mudah masyarakat,Negatif
839,iur bpjs benah sehat naik bpjs pelayananya beda bantu sakit berat,Positif
840,iur bpjs sehat naik defisit uang nilai bayang asuransi sehat milik perintah bantu masyarakat butuh,Positif
841,jangkau naik tarif bpjs upgrade sehat iur bpjs sesuai prosedur sehat,Positif
842,baik sistem upgrade sehat naik baru tatanan bpjs bantu serta jkn kis,Positif
843,naik iur solusi atas defisit bpjs sehat,Negatif
844,bpjs sehat kecewa ribet koordinasi jadi minggu istri gugur dikiret klinik utama handayani bpjs aktif,Negatif
845,rakyat susah disusahin contoh pimpin sadis dzolim rakyat,Negatif
846,cekik usaha rakyat brutal naik bpjs sehat dibatalin ma ganti ketua ma naik peras pd usaha rakyat sadis nggak sih prank itu nama iur bpjs sehat,Negatif
847,sentralisasi sehat bpjs tekor mesti tara puskesmas kelola jamkesmas kab kota tara rsud kelola jamkesmas prov tara rsup kelola bpjs pusat atur persentase kelola layan sesuai anggar,Negatif
848,pegawai bpjs pakai bpjs sih iur bpjs sehat putus ma,Negatif
849,bpjs sehat pajak wajib anggota mati bayar mati stop bayar cie indonesia sengsara rakyat,Negatif
850,bener bener rezim cekik rakyat naik iur,Negatif
851,bpjs bentuk subsidi sehat negara gin cerita ragu negara ngasih subsidi rakyat rakyat ngasih subsidi negara,Negatif
852,oi bego emergency bidang sehat benah bidang sehat bpjs tangan covid infrastruktur,Negatif
853,modus jahat berfikir sesat kondisi masyarakat serba susah covid sisi kait defisit bpjs sehat rakyat korban,Negatif
854,perintah bantu subsidi iur bpjs sehat,Positif
855,iur abis mundur ganti kelola tata kelola ngga beres iur alas,Negatif
856,tau wajib bayar bpjs bulan biaya sehat olah harap sakit sakit duit bayar bayar pegawai bpjs,Negatif
857,bikin emosi bpjs sehat minggu dikerjain bolak sampe muter muter ujung kabupaten sampe ujung kota tengah psbb dilayanin tanggung,Negatif
858,orang cocok bpjs orang orang cari asuransi sehat swasta alas cari layan cepat langsung optimal bpjs ribet administrasi,Negatif
859,kayak bpjs sehat nih adaptasi revolusi industri ada,Negatif
860,jerman sosialis sistem sehat asuransi tinggal dateng gk pake ribet indonesia gelut pake bpjs,Negatif
861,sih bpjs asuransi pt prudential life assurance prudential pt aia financial pt asuransi jiwa manulife indonesia axa mandiri layan sehat cepat,Negatif
862,jokowi gotong royong tengah pandemi naik iur bpjs tengah darurat sehat landa bangsa,Negatif
863,bayar operasi biaya operasi dokter juta bayar bebas biaya terima kasih bpjs,Positif
864,cuci darah delapan gatot terima kasih serta jkn kis,Positif
865,modal kartu jkn kis salin bebas biaya bantu banget,Positif
866,serah bilang kisdi nuduh org bnr fitnah org nanya bpjs sehat iur berat masyarakat hutang negara nyari kerja susah isi tka,Negatif
867,udahlah bubar bpjs sehat nyusahin masyarakat doang bisa,Negatif
868,sih pindah jamin sehat swasta bpjs kelas mata rumah sakit anggap pasien bayar ngutang bayar bpjs perintah rumah sakit telat,Negatif
869,naik iur bpjs sehat nilai cedera manusia,Negatif
870,bagus hasil bayarin utang bpjs sehat biar iur berat masyarakat,Negatif
871,bubarin susah masyarakat jg manfaat benefit bpjs sehat jujur manfaat bpjs tk org jg bs daftar sbg kerja mandiri manfaat lbh kayak nabung deposito,Negatif
872,geruduk dirut bpjs sehat naik iur pihak masyarakat,Negatif
873,tau main tarif bpjs sehat,Negatif
874,bpjs bantu hitung iur bayar tdk banding jik awat biaya rumah sakit mahal syukur pemerinrah perhati sehat,Positif
875,naik iur bpjs sehat harap baik layan sehat idi nilai sulit bayar fasilitas sehat,Negatif
876,dpr nilai perintah manfaat social distancing lolos naik iur bpjs sehat,Negatif
877,bpjs usaha cari untung usaha jalan wajib negara jamin sehat masyarakat,Negatif
878,bpjs bubar sistem sehat rakyat urus pemda rugi masyarakat,Negatif
879,teman pasang pen tulang rs fatmawati bpjs sehat gratis bolak manfaat,Positif
880,ini asuransi jenis nanggung sehat negara rakyat pasung nama bpjs,Negatif
881,bpjs sehat covid harga sembako turun,Negatif
882,bantu rakyat covid salah satu turun bbm boro boro turun naikin iur bpjs negara sih,Negatif
883,negara jamin sehat gratis iur sehat iur,Negatif
884,menghayal perintah pelayana sehat gratis bpjs puas lebih kurang,Positif
885,naik iur bpjs sehat nilai sengsara rakyat pa gugat jokowi,Negatif
886,naik iur bpjs sehat perintah akal putus ma empati sulit rakyat,Negatif
887,hampirgila habis pandemi rsj penuh pasien alas perintah naik iur bpjs alokasi anggar proyeksi sehat jiwa sadar naik iur gila masyarakat,Negatif
888,nutup defisit bpjs sehat rakyat peras koma enam trilyun setor abal abal,Negatif
889,layan bpjs buruk obat rs mending pake asuransi swasta dah iur kelas segitu diturunin mesti tahun kelas sampe gk urus jd mandiri resign mesti kudu jaga sehat,Negatif
890,negara renggut hak rakyat polemik iur bpjs sehat kunjung,Negatif
891,tanda perintah tdk solusi sejahtera sehat rakyat abai suruh turun kelas bpjs sehat defisit tdk duit klau masyarakat turun kelas uang nutupi kurang jd liat akal akal,Negatif
892,mending pindah asuransi swasta bu sri bpjs rs susah suka ruang,Negatif
893,rasa gambar bijak jokowi naik iur bpjs sehat,Negatif
894,bahasa hebat banget rakyat selamat bpjs mana peran negara perintah selamat rakyat serba balik,Negatif
895,bpjs wajib negara sedia fasilitas sehat alih dana prakerja real bantu masyarakat dr insentif ambil hak rakyat suruh ambil hak jabat lembaga negara daerah,Negatif
896,perhati bpjs jamin sehat rakyat alami defisit wajar perintah selamat menyalamatkan penting rakyat jernih pikir tendesius,Positif
897,bpjs langsung pake korelasi budget orang ngerokok eh coy ikut bpjs sehat ngerokok goblok,Negatif
898,bpjs bubar sehat rakyat urus pemda biar timpang,Negatif
899,perintah nge prank gin rakyat buat sakaratul maut mgkn bpjs sehat udh batal paksa besar gaji karyawannya,Negatif
900,naik iur bpjs sehat nilai jatuh marwah mahkamah agung,Negatif
901,perintah milik empati masyarakat,Negatif
902,sadar perintah usaha jamin sehat sepenuh rasa manfaat biar defisit ambyar buat skema subsidi kelas,Positif
903,tuju rakyat susah perintah naik iur sehat korban phk sakit sakit stres akibat naik bpjs,Negatif
904,presiden joko widodo patuh putus mahkamah agung bpjs sehat,Negatif
905,sulit perintah nekat naik iur bpjs sehat mana pihak rakyat,Negatif
906,perintah peka bukti tuna empati situasi masyarakat landa pandemi wabah covid mana masyarakat susah derita naik iur bpjs sehat,Negatif
907,naik iur bpjs sehat hindar defisit anggar naik prediksi tingkat fasilitas sehat serta paham luap postingan provokatif,Positif
908,puji syukur bpjs sehat ayah rawat rs jantung harkit puluh tanggung bpjs sehat program dr mid thn ribu belas daftar kerja,Positif
909,sepakat pikir serta bpjs kelas alhamdulillah kasih sehat biar butuh manfaat senang gotong royong bantu butuh,Positif
910,ma batal naik iur bpjs sehat presiden naik,Negatif
911,naik iur bpjs sehat jokowi rasional,Negatif
912,banget pandemi naikin iur bpjs sehat,Negatif
913,buat asuransi sehat bpjs murah manfaat,Positif
914,mending iur bpjs sehat bubar era mana orang miskin larang sakit,Positif
915,saat negara hadir layan sehat sambut peran aktif rakyat coba bpjs hapus krn problem defisit turun turun gimana nasib sakit berat,Positif
916,tuju bpjs ada ladang dapat sehat rakyat,Negatif
917,bpjs bpjs sehat alami defisit naik iur salah kurang defisit manfaat,Positif
918,bpjs ratus ribu teriak sehat butuh primer manusia beli paket internet bayar wifi notabene cuman butuh sekunder miris teknologi kalah akal sehat,Positif
919,bpjs program gotong royong serta maaf gratis alias bayar perintah kis serta bayar anggap kelas tinggal pilih sesuai mampu sehat mahal,Positif
920,telat bayar iur bpjs sehat kena denda persen,Netral
921,defisit bpjs sehat ketua mpr perintah cari solusi naik iur,Netral
922,bpjs manfaat murah asuransi sehat swasta telat sampe bayar iur,Positif
923,pecat dirut bpjs sehat bukti,Negatif
924,naik iur bpjs sehat tanda negara duit rakyat peras,Negatif
925,rakyat sanggup bayar iur bpjs sehat kelas iur naik,Positif
926,gotong royong harap jaga kualitas sinambung program jamin sehat masyarakat bpjs jalan lanjut,Positif
927,langsung bpjs salah ladang amal bantu lemah ekonomi,Positif
928,pokok paham prinsip iur bpjs susah doyan boba coba anggar boba bayar bpjs sehat sisa yuk gotong royong tolong tolong rajin bayar iur,Positif
929,kontribusi perintah subsidi iur bpjs sehat rasa bantu serta bpjs serta jkn kis,Positif
930,perintah cari solusi biaya sehat jamin bpjs sehat tolong tolong iur bpjs gimana sakit kelas nutupi kurang biaya sehat bpjs sehat gratis,Positif
931,sehat no uang sakit sakit rasa mahal sehat tuju naik bpjs sehat,Positif
932,support insya allah jalan lancar layan bpjs sehat ganggu,Positif
933,teman teman alami sulit ekonomi plis telat bayar iur bpjs sehat support mndukung lancar bpjs sehat,Positif
934,harap naik iur bpjs moga depan layan bpjs sehat tingkat layan masyarakat maksimal,Positif
935,alhamdulillah bpjs sehat asuransi layan baik keluarga,Positif
936,bpjs sehat bantu masyarakat tengah rutin obat bpjs biaya keluar cover biaya,Positif
937,bijak ambil langsung bpjs sehat maklum sesuai besar tarif iur bpjs,Positif
938,sehat jamin perintah warga miskin itu prosedur prosedur rt rw lurah camat bpjs kartu bpjs langsung obat,Positif
939,bijak terap cegah masyarakat sembarang pindah pindah kelas bulan sulit bpjs sehat biaya sehat,Positif
940,naik iur langsung bpjs sehat,Positif
941,mari support bpjs sehat bpjs sehat rasa manfaat,Positif
942,elemen libat tutup keluar alas naik iur bpjs iur kumpul cukup biaya program bpjs sehat sesuai besar tarif,Positif
943,bpjs butuh gotong royong tahan eksistensi layan sehat masyarakat naik iur serta kelas efektif ribu puluh subsidi sembilan ribu ratus iur berat pindah kelas,Positif
944,naik kelas notabene orang donasi covid gotong royong bpjs sehat turun kls kelas tanggung bpjs,Positif
945,ceceu rasa manfaat bpjs sehat teman kerja ceceu jg istri lahir bantu rawat inap bantu biaya cover bpjs sehat,Positif
946,bantu manfaat sehat bpjs iur bpjs asuransi sisih antisipasi risiko,Positif
947,critanya bpjs sehat defisit ribu belas parah ribu tujuh belas ribu delapan belas salah satu tunggak bayar iur bpjs bantu gotong royong bantu butuh,Positif
948,serta bantu bpjs sehat biaya rumah sakit mahal,Positif
949,naik sesuai pres enam puluh subsidi koma triliun carry on defisit indonesia jamin sehat sepenuh pola skrg masyarakat manfaat hancur bpjs awas,Positif
950,dipikirin gimana usaha asuransi compete kasi harga murah kerjasama program subsidi sehat bpjs miskin dicover full sisi edukasi push strong middle class bantu,Positif
951,bpjs bantu masyarakat azas gotong royong panik salah satu jaga sehat,Positif
952,sadar prinsip bpjs sehat gotong royong tolong salah bentuk sumbangsih negeri tolong butuh bantu dana awat sehat syukur pakai sakit,Positif
953,perintah peduli krisis naik iur bpjs perintah peduli krn layan maksimal sehat masyarakat subisidi kelas,Positif
